Sl No,Timestamp,Day of Week,Weekday/Weekend,Weather,Festival/Holiday,Calamities,Road Construction,Traffic Density,Time Delay (min),Vehicle Density (veh/km)
2279,2025-10-24 17:30,Friday,Weekday,Clear,None,None,None,Very High,30,130
2280,2025-10-24 17:45,Friday,Weekday,Cloudy,None,None,None,Very High,41,187
2281,2025-10-24 18:00,Friday,Weekday,Sunny,None,None,None,Very High,29,122
2282,2025-10-24 18:15,Friday,Weekday,Clear,None,None,None,Very High,44,165
2283,2025-10-24 18:30,Friday,Weekday,Light Rain,None,None,None,High,18,91
2284,2025-10-24 18:45,Friday,Weekday,Rainy,None,None,None,Very High,43,167
2285,2025-10-24 19:00,Friday,Weekday,Clear,None,None,None,High,24,82
2286,2025-10-24 19:15,Friday,Weekday,Light Rain,None,None,None,Very High,33,196
2287,2025-10-24 19:30,Friday,Weekday,Clear,None,None,None,Very High,31,183
2288,2025-10-24 19:45,Friday,Weekday,Clear,None,None,None,Very High,43,137
2289,2025-10-24 20:00,Friday,Weekday,Rainy,None,None,None,High,14,107
2290,2025-10-24 20:15,Friday,Weekday,Light Rain,None,None,None,Very High,43,142
2291,2025-10-24 20:30,Friday,Weekday,Clear,None,None,None,High,23,87
2292,2025-10-24 20:45,Friday,Weekday,Clear,None,None,None,Very High,25,158
2293,2025-10-24 21:00,Friday,Weekday,Light Rain,None,None,None,Low,0,22
2294,2025-10-24 21:15,Friday,Weekday,Light Rain,None,None,None,Medium,10,44
2295,2025-10-24 21:30,Friday,Weekday,Sunny,None,None,None,Medium,8,56
2296,2025-10-24 21:45,Friday,Weekday,Cloudy,None,None,None,Low,2,23
2297,2025-10-24 22:00,Friday,Weekday,Clear,None,None,None,Medium,6,44
2298,2025-10-24 22:15,Friday,Weekday,Rainy,None,None,None,Low,4,29
2299,2025-10-24 22:30,Friday,Weekday,Cloudy,None,None,None,Low,5,32
2300,2025-10-24 22:45,Friday,Weekday,Clear,None,None,None,Low,1,36
2301,2025-10-24 23:00,Friday,Weekday,Clear,None,None,None,Medium,9,44
2302,2025-10-24 23:15,Friday,Weekday,Clear,None,None,None,Medium,9,52
2303,2025-10-24 23:30,Friday,Weekday,Clear,None,None,None,Low,2,36
2304,2025-10-24 23:45,Friday,Weekday,Cloudy,None,None,None,Medium,7,42
2305,2025-10-25 00:00,Saturday,Weekend,Clear,None,None,None,Low,2,35
2306,2025-10-25 00:15,Saturday,Weekend,Clear,None,None,None,Low,3,28
2307,2025-10-25 00:30,Saturday,Weekend,Light Rain,None,None,None,Medium,7,69
2308,2025-10-25 00:45,Saturday,Weekend,Clear,None,None,None,Medium,9,70
2309,2025-10-25 01:00,Saturday,Weekend,Clear,None,None,None,Medium,6,61
2310,2025-10-25 01:15,Saturday,Weekend,Clear,None,None,None,Medium,8,62
2311,2025-10-25 01:30,Saturday,Weekend,Light Rain,None,None,None,Medium,8,65
2312,2025-10-25 01:45,Saturday,Weekend,Clear,None,None,None,Medium,5,47
2313,2025-10-25 02:00,Saturday,Weekend,Clear,None,None,None,Medium,9,66
2314,2025-10-25 02:15,Saturday,Weekend,Light Rain,None,None,None,Low,5,40
2315,2025-10-25 02:30,Saturday,Weekend,Clear,None,None,None,Medium,5,62
2316,2025-10-25 02:45,Saturday,Weekend,Light Rain,None,None,None,Medium,5,44
2317,2025-10-25 03:00,Saturday,Weekend,Clear,None,None,None,Low,3,35
2318,2025-10-25 03:15,Saturday,Weekend,Clear,None,None,None,Medium,8,61
2319,2025-10-25 03:30,Saturday,Weekend,Rainy,None,None,None,Medium,6,50
2320,2025-10-25 03:45,Saturday,Weekend,Clear,None,None,None,Low,0,37
2321,2025-10-25 04:00,Saturday,Weekend,Clear,None,None,None,Low,3,22
2322,2025-10-25 04:15,Saturday,Weekend,Light Rain,None,None,None,Low,4,29
2323,2025-10-25 04:30,Saturday,Weekend,Light Rain,None,None,None,Low,1,27
2324,2025-10-25 04:45,Saturday,Weekend,Rainy,None,None,None,Low,4,37
2325,2025-10-25 05:00,Saturday,Weekend,Clear,None,None,None,Medium,6,43
2326,2025-10-25 05:15,Saturday,Weekend,Clear,None,None,None,Medium,9,64
2327,2025-10-25 05:30,Saturday,Weekend,Cloudy,None,None,None,Medium,8,61
2328,2025-10-25 05:45,Saturday,Weekend,Clear,None,None,None,Medium,5,60
2329,2025-10-25 06:00,Saturday,Weekend,Clear,None,None,None,Low,3,30
2330,2025-10-25 06:15,Saturday,Weekend,Rainy,None,None,None,Medium,8,47
2331,2025-10-25 06:30,Saturday,Weekend,Rainy,None,None,None,Medium,5,58
2332,2025-10-25 06:45,Saturday,Weekend,Clear,None,None,None,Medium,6,57
2333,2025-10-25 07:00,Saturday,Weekend,Sunny,None,None,None,Low,2,27
2334,2025-10-25 07:15,Saturday,Weekend,Clear,None,None,None,Low,2,20
2335,2025-10-25 07:30,Saturday,Weekend,Cloudy,None,None,None,Medium,9,68
2336,2025-10-25 07:45,Saturday,Weekend,Light Rain,None,None,None,Medium,8,49
2337,2025-10-25 08:00,Saturday,Weekend,Light Rain,None,None,None,Low,5,34
2338,2025-10-25 08:15,Saturday,Weekend,Clear,None,None,None,Medium,5,43
2339,2025-10-25 08:30,Saturday,Weekend,Rainy,None,None,None,Medium,5,53
2340,2025-10-25 08:45,Saturday,Weekend,Clear,None,None,None,Medium,6,63
2341,2025-10-25 09:00,Saturday,Weekend,Clear,None,None,None,Medium,9,49
2342,2025-10-25 09:15,Saturday,Weekend,Sunny,None,None,None,Medium,5,63
2343,2025-10-25 09:30,Saturday,Weekend,Clear,None,None,None,Low,0,28
2344,2025-10-25 09:45,Saturday,Weekend,Cloudy,None,None,None,Low,5,30
2345,2025-10-25 10:00,Saturday,Weekend,Clear,None,None,None,High,11,86
2346,2025-10-25 10:15,Saturday,Weekend,Light Rain,None,None,None,Medium,9,47
2347,2025-10-25 10:30,Saturday,Weekend,Light Rain,None,None,None,Medium,5,51
2348,2025-10-25 10:45,Saturday,Weekend,Rainy,None,None,None,Medium,7,52
2349,2025-10-25 11:00,Saturday,Weekend,Clear,None,None,None,Medium,6,63
2350,2025-10-25 11:15,Saturday,Weekend,Sunny,None,None,None,High,15,97
2351,2025-10-25 11:30,Saturday,Weekend,Cloudy,None,None,None,High,17,120
2352,2025-10-25 11:45,Saturday,Weekend,Clear,None,None,None,Medium,9,60
2353,2025-10-25 12:00,Saturday,Weekend,Cloudy,None,None,None,High,17,102
2354,2025-10-25 12:15,Saturday,Weekend,Light Rain,None,None,None,High,25,91
2355,2025-10-25 12:30,Saturday,Weekend,Rainy,None,None,None,High,22,106
2356,2025-10-25 12:45,Saturday,Weekend,Clear,None,None,None,High,24,83
2357,2025-10-25 13:00,Saturday,Weekend,Cloudy,None,None,None,Medium,7,42
2358,2025-10-25 13:15,Saturday,Weekend,Clear,None,None,None,Medium,8,50
2359,2025-10-25 13:30,Saturday,Weekend,Cloudy,None,None,None,High,22,106
2360,2025-10-25 13:45,Saturday,Weekend,Light Rain,None,None,None,Medium,10,59
2361,2025-10-25 14:00,Saturday,Weekend,Rainy,None,None,None,High,22,112
2362,2025-10-25 14:15,Saturday,Weekend,Light Rain,None,None,None,High,10,86
2363,2025-10-25 14:30,Saturday,Weekend,Clear,None,None,None,Medium,5,41
2364,2025-10-25 14:45,Saturday,Weekend,Light Rain,None,None,None,Medium,7,64
2365,2025-10-25 15:00,Saturday,Weekend,Clear,None,None,None,High,24,85
2366,2025-10-25 15:15,Saturday,Weekend,Light Rain,None,None,None,High,24,72
2367,2025-10-25 15:30,Saturday,Weekend,Clear,None,None,None,High,13,83
2368,2025-10-25 15:45,Saturday,Weekend,Cloudy,None,None,None,Medium,7,53
2369,2025-10-25 16:00,Saturday,Weekend,Clear,None,None,None,High,20,70
2370,2025-10-25 16:15,Saturday,Weekend,Clear,None,None,None,Medium,10,50
2371,2025-10-25 16:30,Saturday,Weekend,Sunny,None,None,None,Medium,6,55
2372,2025-10-25 16:45,Saturday,Weekend,Clear,None,None,None,High,12,70
2373,2025-10-25 17:00,Saturday,Weekend,Light Rain,None,None,None,Medium,10,62
2374,2025-10-25 17:15,Saturday,Weekend,Clear,None,None,None,High,19,107
2375,2025-10-25 17:30,Saturday,Weekend,Cloudy,None,None,None,Medium,7,58
2376,2025-10-25 17:45,Saturday,Weekend,Clear,None,None,None,High,25,99
2377,2025-10-25 18:00,Saturday,Weekend,Clear,None,None,None,Medium,10,69
2378,2025-10-25 18:15,Saturday,Weekend,Clear,None,None,None,Medium,5,50
2379,2025-10-25 18:30,Saturday,Weekend,Clear,None,None,None,Medium,8,43
2380,2025-10-25 18:45,Saturday,Weekend,Clear,None,None,None,Medium,5,59
2381,2025-10-25 19:00,Saturday,Weekend,Cloudy,None,None,None,Medium,7,53
2382,2025-10-25 19:15,Saturday,Weekend,Clear,None,None,None,Medium,5,60
2383,2025-10-25 19:30,Saturday,Weekend,Clear,None,None,None,High,23,99
2384,2025-10-25 19:45,Saturday,Weekend,Clear,None,None,None,Medium,10,60
2385,2025-10-25 20:00,Saturday,Weekend,Clear,None,None,None,Medium,9,45
2386,2025-10-25 20:15,Saturday,Weekend,Cloudy,None,None,None,Medium,5,69
2387,2025-10-25 20:30,Saturday,Weekend,Clear,None,None,None,High,15,83
2388,2025-10-25 20:45,Saturday,Weekend,Clear,None,None,None,Medium,10,63
2389,2025-10-25 21:00,Saturday,Weekend,Light Rain,None,None,None,High,16,90
2390,2025-10-25 21:15,Saturday,Weekend,Clear,None,None,None,High,10,102
2391,2025-10-25 21:30,Saturday,Weekend,Clear,None,None,None,High,10,82
2392,2025-10-25 21:45,Saturday,Weekend,Clear,None,None,None,High,20,100
2393,2025-10-25 22:00,Saturday,Weekend,Cloudy,None,None,None,Medium,8,64
2394,2025-10-25 22:15,Saturday,Weekend,Rainy,None,None,None,Low,2,22
2395,2025-10-25 22:30,Saturday,Weekend,Rainy,None,None,None,Medium,6,64
2396,2025-10-25 22:45,Saturday,Weekend,Cloudy,None,None,None,Medium,5,46
2397,2025-10-25 23:00,Saturday,Weekend,Rainy,None,None,None,Low,2,27
2398,2025-10-25 23:15,Saturday,Weekend,Rainy,None,None,None,Low,2,21
2399,2025-10-25 23:30,Saturday,Weekend,Rainy,None,None,None,Low,0,40
2400,2025-10-25 23:45,Saturday,Weekend,Clear,None,None,None,Medium,10,47
2401,2025-10-26 00:00,Sunday,Weekend,Clear,None,None,None,Low,0,40
2402,2025-10-26 00:15,Sunday,Weekend,Sunny,None,None,None,Low,2,22
2403,2025-10-26 00:30,Sunday,Weekend,Sunny,None,None,None,Medium,10,60
2404,2025-10-26 00:45,Sunday,Weekend,Cloudy,None,None,None,Low,5,30
2405,2025-10-26 01:00,Sunday,Weekend,Clear,None,None,None,Medium,10,48
2406,2025-10-26 01:15,Sunday,Weekend,Cloudy,None,None,None,Low,0,25
2407,2025-10-26 01:30,Sunday,Weekend,Clear,None,None,None,Low,1,20
2408,2025-10-26 01:45,Sunday,Weekend,Rainy,None,None,None,Medium,8,43
2409,2025-10-26 02:00,Sunday,Weekend,Clear,None,None,None,Medium,8,51
2410,2025-10-26 02:15,Sunday,Weekend,Light Rain,None,None,None,Medium,8,40
2411,2025-10-26 02:30,Sunday,Weekend,Light Rain,None,None,None,Low,0,32
2412,2025-10-26 02:45,Sunday,Weekend,Light Rain,None,None,None,Low,1,32
2413,2025-10-26 03:00,Sunday,Weekend,Clear,None,None,None,Low,5,36
2414,2025-10-26 03:15,Sunday,Weekend,Clear,None,None,None,Medium,9,40
2415,2025-10-26 03:30,Sunday,Weekend,Sunny,None,None,None,Low,2,21
2416,2025-10-26 03:45,Sunday,Weekend,Clear,None,None,None,Low,1,34
2417,2025-10-26 04:00,Sunday,Weekend,Cloudy,None,None,None,Medium,5,64
2418,2025-10-26 04:15,Sunday,Weekend,Cloudy,None,None,None,Medium,9,57
2419,2025-10-26 04:30,Sunday,Weekend,Light Rain,None,None,None,Low,3,26
2420,2025-10-26 04:45,Sunday,Weekend,Sunny,None,None,None,Low,2,29
2421,2025-10-26 05:00,Sunday,Weekend,Rainy,None,None,None,Medium,8,62
2422,2025-10-26 05:15,Sunday,Weekend,Clear,None,None,None,Low,4,38
2423,2025-10-26 05:30,Sunday,Weekend,Sunny,None,None,None,Low,5,39
2424,2025-10-26 05:45,Sunday,Weekend,Cloudy,None,None,None,Medium,8,46
2425,2025-10-26 06:00,Sunday,Weekend,Clear,None,None,None,Low,2,36
2426,2025-10-26 06:15,Sunday,Weekend,Cloudy,None,None,None,Low,4,27
2427,2025-10-26 06:30,Sunday,Weekend,Cloudy,None,None,None,Medium,10,44
2428,2025-10-26 06:45,Sunday,Weekend,Clear,None,None,None,Low,0,22
2429,2025-10-26 07:00,Sunday,Weekend,Clear,None,None,None,Low,5,31
2430,2025-10-26 07:15,Sunday,Weekend,Light Rain,None,None,None,Medium,9,47
2431,2025-10-26 07:30,Sunday,Weekend,Cloudy,None,None,None,Medium,10,56
2432,2025-10-26 07:45,Sunday,Weekend,Clear,None,None,None,Medium,6,61
2433,2025-10-26 08:00,Sunday,Weekend,Clear,None,None,None,Low,3,34
2434,2025-10-26 08:15,Sunday,Weekend,Light Rain,None,None,None,Low,5,36
2435,2025-10-26 08:30,Sunday,Weekend,Cloudy,None,None,None,Low,4,25
2436,2025-10-26 08:45,Sunday,Weekend,Clear,None,None,None,Low,4,27
2437,2025-10-26 09:00,Sunday,Weekend,Clear,None,None,None,Medium,6,47
2438,2025-10-26 09:15,Sunday,Weekend,Clear,None,None,None,Low,5,35
2439,2025-10-26 09:30,Sunday,Weekend,Cloudy,None,None,None,Medium,6,43
2440,2025-10-26 09:45,Sunday,Weekend,Sunny,None,None,None,Low,2,40
2441,2025-10-26 10:00,Sunday,Weekend,Rainy,None,None,None,Medium,8,67
2442,2025-10-26 10:15,Sunday,Weekend,Clear,None,None,None,Medium,7,57
2443,2025-10-26 10:30,Sunday,Weekend,Light Rain,None,None,None,High,16,117
2444,2025-10-26 10:45,Sunday,Weekend,Light Rain,None,None,None,High,15,79
2445,2025-10-26 11:00,Sunday,Weekend,Sunny,None,None,None,Medium,7,48
2446,2025-10-26 11:15,Sunday,Weekend,Sunny,None,None,None,High,14,118
2447,2025-10-26 11:30,Sunday,Weekend,Light Rain,None,None,None,Medium,6,50
2448,2025-10-26 11:45,Sunday,Weekend,Rainy,None,None,None,High,15,84
2449,2025-10-26 12:00,Sunday,Weekend,Clear,None,None,None,High,18,115
2450,2025-10-26 12:15,Sunday,Weekend,Sunny,None,None,None,High,18,84
2451,2025-10-26 12:30,Sunday,Weekend,Sunny,None,None,None,High,21,103
2452,2025-10-26 12:45,Sunday,Weekend,Cloudy,None,None,None,High,20,94
2453,2025-10-26 13:00,Sunday,Weekend,Sunny,None,None,None,High,20,94
2454,2025-10-26 13:15,Sunday,Weekend,Light Rain,None,None,None,High,20,71
2455,2025-10-26 13:30,Sunday,Weekend,Cloudy,None,None,None,Medium,8,47
2456,2025-10-26 13:45,Sunday,Weekend,Clear,None,None,None,Medium,5,49
2457,2025-10-26 14:00,Sunday,Weekend,Clear,None,None,None,Medium,7,59
2458,2025-10-26 14:15,Sunday,Weekend,Sunny,None,None,None,High,11,101
2459,2025-10-26 14:30,Sunday,Weekend,Clear,None,None,None,Medium,9,53
2460,2025-10-26 14:45,Sunday,Weekend,Clear,None,None,None,High,14,108
2461,2025-10-26 15:00,Sunday,Weekend,Clear,None,None,None,High,18,97
2462,2025-10-26 15:15,Sunday,Weekend,Sunny,None,None,None,Medium,10,51
2463,2025-10-26 15:30,Sunday,Weekend,Clear,None,None,None,Medium,10,63
2464,2025-10-26 15:45,Sunday,Weekend,Sunny,None,None,None,High,21,102
2465,2025-10-26 16:00,Sunday,Weekend,Rainy,None,None,None,High,22,85
2466,2025-10-26 16:15,Sunday,Weekend,Rainy,None,None,None,Medium,7,69
2467,2025-10-26 16:30,Sunday,Weekend,Clear,None,None,None,Medium,8,66
2468,2025-10-26 16:45,Sunday,Weekend,Sunny,None,None,None,High,17,88
2469,2025-10-26 17:00,Sunday,Weekend,Clear,None,None,None,Medium,5,48
2470,2025-10-26 17:15,Sunday,Weekend,Light Rain,None,None,None,High,19,76
2471,2025-10-26 17:30,Sunday,Weekend,Light Rain,None,None,None,Medium,7,65
2472,2025-10-26 17:45,Sunday,Weekend,Clear,None,None,None,Medium,8,44
2473,2025-10-26 18:00,Sunday,Weekend,Clear,None,None,None,Medium,7,49
2474,2025-10-26 18:15,Sunday,Weekend,Cloudy,None,None,None,Medium,5,42
2475,2025-10-26 18:30,Sunday,Weekend,Cloudy,None,None,None,Medium,9,70
2476,2025-10-26 18:45,Sunday,Weekend,Clear,None,None,None,High,10,74
2477,2025-10-26 19:00,Sunday,Weekend,Clear,None,None,None,Medium,9,49
2478,2025-10-26 19:15,Sunday,Weekend,Clear,None,None,None,Medium,9,52
2479,2025-10-26 19:30,Sunday,Weekend,Cloudy,None,None,None,High,10,72
2480,2025-10-26 19:45,Sunday,Weekend,Rainy,None,None,None,Medium,8,57
2481,2025-10-26 20:00,Sunday,Weekend,Sunny,None,None,None,Medium,5,54
2482,2025-10-26 20:15,Sunday,Weekend,Cloudy,None,None,None,Medium,8,69
2483,2025-10-26 20:30,Sunday,Weekend,Clear,None,None,None,Medium,9,46
2484,2025-10-26 20:45,Sunday,Weekend,Light Rain,None,None,None,Medium,8,53
2485,2025-10-26 21:00,Sunday,Weekend,Clear,None,None,None,High,25,106
2486,2025-10-26 21:15,Sunday,Weekend,Clear,None,None,None,High,18,70
2487,2025-10-26 21:30,Sunday,Weekend,Cloudy,None,None,None,Medium,5,67
2488,2025-10-26 21:45,Sunday,Weekend,Rainy,None,None,None,High,17,91
2489,2025-10-26 22:00,Sunday,Weekend,Clear,None,None,None,Low,2,20
2490,2025-10-26 22:15,Sunday,Weekend,Rainy,None,None,None,Low,1,40
2491,2025-10-26 22:30,Sunday,Weekend,Clear,None,None,None,Medium,5,56
2492,2025-10-26 22:45,Sunday,Weekend,Clear,None,None,None,Medium,8,51
2493,2025-10-26 23:00,Sunday,Weekend,Cloudy,None,None,None,Low,4,25
2494,2025-10-26 23:15,Sunday,Weekend,Cloudy,None,None,None,Medium,7,65
2495,2025-10-26 23:30,Sunday,Weekend,Clear,None,None,None,Medium,7,57
2496,2025-10-26 23:45,Sunday,Weekend,Clear,None,None,None,Medium,6,51
2497,2025-10-27 00:00,Monday,Weekday,Cloudy,None,None,None,Low,1,30
2498,2025-10-27 00:15,Monday,Weekday,Light Rain,None,Flood,None,High,15,95
2499,2025-10-27 00:30,Monday,Weekday,Cloudy,None,None,None,Low,2,34
2500,2025-10-27 00:45,Monday,Weekday,Light Rain,None,Flood,None,High,22,119
2501,2025-10-27 01:00,Monday,Weekday,Rainy,None,Flood,None,High,12,70
2502,2025-10-27 01:15,Monday,Weekday,Cloudy,None,None,None,Low,3,23
2503,2025-10-27 01:30,Monday,Weekday,Sunny,None,None,None,Low,3,37
2504,2025-10-27 01:45,Monday,Weekday,Rainy,None,Flood,None,High,20,113
2505,2025-10-27 02:00,Monday,Weekday,Clear,None,None,None,Medium,7,65
2506,2025-10-27 02:15,Monday,Weekday,Clear,None,None,None,Low,4,34
2507,2025-10-27 02:30,Monday,Weekday,Clear,None,None,None,Low,4,28
2508,2025-10-27 02:45,Monday,Weekday,Light Rain,None,Flood,None,High,10,106
2509,2025-10-27 03:00,Monday,Weekday,Clear,None,None,None,Low,3,26
2510,2025-10-27 03:15,Monday,Weekday,Rainy,None,Flood,None,High,21,95
2511,2025-10-27 03:30,Monday,Weekday,Sunny,None,None,None,Low,1,32
2512,2025-10-27 03:45,Monday,Weekday,Sunny,None,None,None,Medium,7,52
2513,2025-10-27 04:00,Monday,Weekday,Rainy,None,Flood,None,High,11,87
2514,2025-10-27 04:15,Monday,Weekday,Clear,None,None,None,Low,1,22
2515,2025-10-27 04:30,Monday,Weekday,Rainy,None,Flood,None,High,24,86
2516,2025-10-27 04:45,Monday,Weekday,Clear,None,None,None,Medium,7,60
2517,2025-10-27 05:00,Monday,Weekday,Cloudy,None,None,None,Medium,9,56
2518,2025-10-27 05:15,Monday,Weekday,Light Rain,None,Flood,None,High,16,118
2519,2025-10-27 05:30,Monday,Weekday,Light Rain,None,Flood,None,High,14,92
2520,2025-10-27 05:45,Monday,Weekday,Sunny,None,None,None,Medium,10,61
2521,2025-10-27 06:00,Monday,Weekday,Rainy,None,Flood,None,High,11,91
2522,2025-10-27 06:15,Monday,Weekday,Light Rain,None,Flood,None,High,10,79
2523,2025-10-27 06:30,Monday,Weekday,Rainy,None,Flood,None,High,16,78
2524,2025-10-27 06:45,Monday,Weekday,Clear,None,None,None,Low,2,21
2525,2025-10-27 07:00,Monday,Weekday,Clear,None,None,None,Low,3,34
2526,2025-10-27 07:15,Monday,Weekday,Light Rain,None,Flood,None,High,11,110
2527,2025-10-27 07:30,Monday,Weekday,Rainy,None,Flood,None,High,18,100
2528,2025-10-27 07:45,Monday,Weekday,Sunny,None,None,None,Medium,10,51
2529,2025-10-27 08:00,Monday,Weekday,Sunny,None,None,None,Very High,44,132
2530,2025-10-27 08:15,Monday,Weekday,Clear,None,None,None,Very High,38,162
2531,2025-10-27 08:30,Monday,Weekday,Sunny,None,None,None,High,11,120
2532,2025-10-27 08:45,Monday,Weekday,Cloudy,None,None,None,High,19,99
2533,2025-10-27 09:00,Monday,Weekday,Sunny,None,None,None,High,16,110
2534,2025-10-27 09:15,Monday,Weekday,Clear,None,None,None,High,13,113
2535,2025-10-27 09:30,Monday,Weekday,Clear,None,None,None,High,18,81
2536,2025-10-27 09:45,Monday,Weekday,Clear,None,None,None,High,19,79
2537,2025-10-27 10:00,Monday,Weekday,Light Rain,None,Flood,None,High,11,83
2538,2025-10-27 10:15,Monday,Weekday,Light Rain,None,Flood,None,High,11,111
2539,2025-10-27 10:30,Monday,Weekday,Clear,None,None,None,High,13,77
2540,2025-10-27 10:45,Monday,Weekday,Clear,None,None,None,High,23,74
2541,2025-10-27 11:00,Monday,Weekday,Rainy,None,Flood,None,High,14,78
2542,2025-10-27 11:15,Monday,Weekday,Sunny,None,None,None,Low,3,27
2543,2025-10-27 11:30,Monday,Weekday,Clear,None,None,None,Low,0,21
2544,2025-10-27 11:45,Monday,Weekday,Clear,None,None,None,Medium,8,53
2545,2025-10-27 12:00,Monday,Weekday,Clear,None,None,None,Low,5,24
2546,2025-10-27 12:15,Monday,Weekday,Clear,None,None,None,Low,0,27
2547,2025-10-27 12:30,Monday,Weekday,Clear,None,None,None,Low,0,38
2548,2025-10-27 12:45,Monday,Weekday,Cloudy,None,None,None,Medium,5,40
2549,2025-10-27 13:00,Monday,Weekday,Cloudy,None,None,None,Low,2,31
2550,2025-10-27 13:15,Monday,Weekday,Light Rain,None,Flood,None,High,18,75
2551,2025-10-27 13:30,Monday,Weekday,Cloudy,None,None,None,Low,1,37
2552,2025-10-27 13:45,Monday,Weekday,Cloudy,None,None,None,Low,4,27
2553,2025-10-27 14:00,Monday,Weekday,Cloudy,None,None,None,Low,3,33
2554,2025-10-27 14:15,Monday,Weekday,Light Rain,None,Flood,None,High,17,74
2555,2025-10-27 14:30,Monday,Weekday,Light Rain,None,Flood,None,High,13,120
2556,2025-10-27 14:45,Monday,Weekday,Clear,None,None,None,Low,4,21
2557,2025-10-27 15:00,Monday,Weekday,Clear,None,None,None,Low,0,34
2558,2025-10-27 15:15,Monday,Weekday,Clear,None,None,None,Low,2,34
2559,2025-10-27 15:30,Monday,Weekday,Light Rain,None,Flood,None,High,14,76
2560,2025-10-27 15:45,Monday,Weekday,Rainy,None,Flood,None,High,10,111
2561,2025-10-27 16:00,Monday,Weekday,Clear,None,None,None,Low,4,28
2562,2025-10-27 16:15,Monday,Weekday,Clear,None,None,None,Medium,8,41
2563,2025-10-27 16:30,Monday,Weekday,Cloudy,None,None,None,Low,0,35
2564,2025-10-27 16:45,Monday,Weekday,Sunny,None,None,None,Low,2,37
2565,2025-10-27 17:00,Monday,Weekday,Clear,None,None,None,Very High,44,137
2566,2025-10-27 17:15,Monday,Weekday,Sunny,None,None,None,Very High,40,174
2567,2025-10-27 17:30,Monday,Weekday,Rainy,None,Flood,None,High,23,107
2568,2025-10-27 17:45,Monday,Weekday,Cloudy,None,None,None,Very High,38,170
2569,2025-10-27 18:00,Monday,Weekday,Cloudy,None,None,None,Very High,32,191
2570,2025-10-27 18:15,Monday,Weekday,Cloudy,None,None,None,High,13,98
2571,2025-10-27 18:30,Monday,Weekday,Clear,None,None,None,Very High,28,200
2572,2025-10-27 18:45,Monday,Weekday,Cloudy,None,None,None,Very High,35,144
2573,2025-10-27 19:00,Monday,Weekday,Light Rain,None,Flood,None,High,21,119
2574,2025-10-27 19:15,Monday,Weekday,Clear,None,None,None,High,12,109
2575,2025-10-27 19:30,Monday,Weekday,Rainy,None,Flood,None,High,24,100
2576,2025-10-27 19:45,Monday,Weekday,Light Rain,None,Flood,None,High,24,73
2577,2025-10-27 20:00,Monday,Weekday,Sunny,None,None,None,High,24,92
2578,2025-10-27 20:15,Monday,Weekday,Clear,None,None,None,Very High,40,126
2579,2025-10-27 20:30,Monday,Weekday,Clear,None,None,None,Very High,40,191
2580,2025-10-27 20:45,Monday,Weekday,Light Rain,None,Flood,None,High,13,74
2581,2025-10-27 21:00,Monday,Weekday,Rainy,None,Flood,None,High,13,78
2582,2025-10-27 21:15,Monday,Weekday,Clear,None,None,None,Low,2,35
2583,2025-10-27 21:30,Monday,Weekday,Clear,None,None,None,Medium,8,52
2584,2025-10-27 21:45,Monday,Weekday,Sunny,None,None,None,Medium,10,51
2585,2025-10-27 22:00,Monday,Weekday,Cloudy,None,None,None,Low,4,36
2586,2025-10-27 22:15,Monday,Weekday,Light Rain,None,Flood,None,High,19,74
2587,2025-10-27 22:30,Monday,Weekday,Clear,None,None,None,Medium,8,66
2588,2025-10-27 22:45,Monday,Weekday,Clear,None,None,None,Medium,6,59
2589,2025-10-27 23:00,Monday,Weekday,Cloudy,None,None,None,Medium,5,40
2590,2025-10-27 23:15,Monday,Weekday,Cloudy,None,None,None,Medium,6,58
2591,2025-10-27 23:30,Monday,Weekday,Cloudy,None,None,None,Low,2,26
2592,2025-10-27 23:45,Monday,Weekday,Clear,None,None,None,Medium,10,66
2593,2025-10-28 00:00,Tuesday,Weekday,Rainy,None,None,None,Low,2,35
2594,2025-10-28 00:15,Tuesday,Weekday,Light Rain,None,None,None,Medium,10,45
2595,2025-10-28 00:30,Tuesday,Weekday,Sunny,None,None,None,Medium,10,50
2596,2025-10-28 00:45,Tuesday,Weekday,Sunny,None,None,None,Low,0,40
2597,2025-10-28 01:00,Tuesday,Weekday,Light Rain,None,None,None,Low,2,31
2598,2025-10-28 01:15,Tuesday,Weekday,Light Rain,None,None,None,Medium,10,59
2599,2025-10-28 01:30,Tuesday,Weekday,Cloudy,None,None,None,Low,1,38
2600,2025-10-28 01:45,Tuesday,Weekday,Cloudy,None,None,None,Medium,7,69
2601,2025-10-28 02:00,Tuesday,Weekday,Clear,None,None,None,Low,4,25
2602,2025-10-28 02:15,Tuesday,Weekday,Clear,None,None,None,Low,2,22
2603,2025-10-28 02:30,Tuesday,Weekday,Cloudy,None,None,None,Medium,9,59
2604,2025-10-28 02:45,Tuesday,Weekday,Cloudy,None,None,None,Medium,6,63
2605,2025-10-28 03:00,Tuesday,Weekday,Cloudy,None,None,None,Medium,10,68
2606,2025-10-28 03:15,Tuesday,Weekday,Cloudy,None,None,None,Low,5,36
2607,2025-10-28 03:30,Tuesday,Weekday,Clear,None,None,None,Medium,7,69
2608,2025-10-28 03:45,Tuesday,Weekday,Clear,None,None,None,Low,1,35
2609,2025-10-28 04:00,Tuesday,Weekday,Light Rain,None,None,None,Medium,7,42
